Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,Branch Age,Year_Since_Acquisition,Total_Deposits,Growth_%,CAGR
JPMorgan Chase Bank,0,Pelham Parkway Branch,474,1928-06-11,1992-06-20,2126 White Plains Road,Bronx,Bronx,NY,10462,40.85414,-73.86764,166924.0,168331.0,172688.0,183194.0,186641.0,206817.0,214699,98,34,1299294.0,28.620809470178045,4.284206214060382
JPMorgan Chase Bank,0,New Lots Branch,479,1961-03-13,1992-06-20,2100 Linden Boulevard,Brooklyn,Kings,NY,11207,40.66074,-73.88503,40157.0,42180.0,42957.0,47242.0,53978.0,56586.0,60407,65,34,343507.0,50.42707373558781,7.042029471171052
JPMorgan Chase Bank,0,Boro Park Branch,483,1925-02-02,1992-06-20,4901 Thirteenth Avenue,Brooklyn,Kings,NY,11219,40.63496,-73.9922,372403.0,377184.0,382038.0,499734.0,577501.0,666093.0,850875,101,34,3725828.0,128.48231620046025,14.764816191772056
JPMorgan Chase Bank,0,Brooklyn Trust Branch,485,1950-10-16,1992-06-20,177 Montague Street,Brooklyn,Kings,NY,11201,40.69423,-73.99223,463182.0,448075.0,480266.0,543999.0,594112.0,611802.0,656295,76,34,3797731.0,41.692682358122724,5.980159873145419
JPMorgan Chase Bank,0,Brownsville Branch,486,1903-06-29,1992-06-20,1697 Pitkin Avenue,Brooklyn,Kings,NY,11212,40.66971,-73.91058,26608.0,30392.0,31188.0,33872.0,34058.0,35972.0,40730,123,34,232820.0,53.07426337943476,7.353703087618224
JPMorgan Chase Bank,0,Bushwick Branch,487,1904-01-07,1992-06-20,819 Grand Street,Brooklyn,Kings,NY,11211,40.712,-73.94064,80934.0,93327.0,101083.0,106129.0,109817.0,126775.0,139762,122,34,757827.0,72.68638643833248,9.53250421609404
JPMorgan Chase Bank,0,Church Avenue Branch,488,1941-12-22,1992-06-20,891 Utica Avenue,Brooklyn,Kings,NY,11203,40.65128,-73.93028,76595.0,77506.0,81188.0,85793.0,96325.0,102320.0,110297,85,34,630024.0,44.000261113649714,6.265889033359229
JPMorgan Chase Bank,0,Bedford and Dekalb Branch,490,1950-10-16,1992-06-20,975 Bedford Avenue,Brooklyn,Kings,NY,11205,40.69073,-73.9553,41628.0,42412.0,53210.0,66539.0,78930.0,89326.0,100545,76,34,472590.0,141.53214182761602,15.832160113839521
JPMorgan Chase Bank,0,Flatbush Branch,491,1812-01-01,1992-06-20,883 Flatbush Avenue,Brooklyn,Kings,NY,11226,40.65042,-73.95864,117655.0,127056.0,133409.0,153540.0,159055.0,171222.0,194198,214,34,1056135.0,65.05715864179167,8.710725507020346
JPMorgan Chase Bank,0,Fourth Ave and 51st Street Branch,492,1912-05-18,1992-06-20,5101 Fourth Avenue,Brooklyn,Kings,NY,11220,40.64577,-74.01322,77872.0,79086.0,72429.0,81459.0,99274.0,103731.0,101875,114,34,615726.0,30.823659338401477,4.579777974081933
JPMorgan Chase Bank,0,Flatlands Branch,493,1926-01-09,1992-06-20,1987 Flatbush Avenue,Brooklyn,Kings,NY,11234,40.62129,-73.93544,126379.0,114066.0,108546.0,108997.0,109926.0,123330.0,142094,100,34,833338.0,12.434819075954074,1.9725948878697164
JPMorgan Chase Bank,0,Newkirk Plaza Branch,494,1930-10-03,1992-06-20,1509 Foster Avenue,Brooklyn,Kings,NY,11230,40.63432,-73.96269,118751.0,123258.0,115551.0,148252.0,153831.0,164917.0,167768,96,34,992328.0,41.277126087359264,5.928293357421888
JPMorgan Chase Bank,0,Kings Highway Branch,495,1930-09-22,1992-06-20,1663 East 17th Street,Brooklyn,Kings,NY,11229,40.60919,-73.95643,148665.0,149714.0,152949.0,176143.0,186245.0,202885.0,207354,96,34,1223955.0,39.47734840076683,5.702180678758917
JPMorgan Chase Bank,0,Mapleton Branch,496,1926-09-13,1992-06-20,6501 18th Avenue,Brooklyn,Kings,NY,11204,40.61909,-73.99014,152468.0,151279.0,177265.0,196219.0,199708.0,215111.0,241783,100,34,1333833.0,58.57950520765013,7.987754302337513
JPMorgan Chase Bank,0,Ninth Street Branch,498,1902-12-29,1992-06-20,444 5th Avenue,Brooklyn,Kings,NY,11215,40.66985,-73.98073,143163.0,161085.0,189245.0,205912.0,235212.0,248736.0,281082,124,34,1464435.0,96.33704239223822,11.900932960431776
JPMorgan Chase Bank,0,Havemeyer and Broadway Branch,499,1922-04-28,1992-06-20,225 Havemeyer Street,Brooklyn,Kings,NY,11211,40.70909,-73.95906,182139.0,212658.0,247696.0,282110.0,323918.0,361398.0,396328,104,34,2006247.0,117.59645106210093,13.834866171631855
JPMorgan Chase Bank,0,Avenue H Branch,500,1962-01-10,1992-06-20,1599 Flatbush Avenue,Brooklyn,Kings,NY,11210,40.63127,-73.946,100075.0,103583.0,109410.0,120122.0,118755.0,127984.0,174764,64,34,854693.0,74.63302523107669,9.737331770531243
JPMorgan Chase Bank,0,Avenue U and East 17th St Branch,501,1900-01-01,1992-06-20,1722 Avenue U,Brooklyn,Kings,NY,11229,40.59911,-73.95374,257757.0,256109.0,269664.0,393884.0,410870.0,432799.0,480204,126,34,2501287.0,86.30105098988582,10.926646607444912
JPMorgan Chase Bank,0,Park Slope Branch,502,1928-10-12,1992-06-20,127 Seventh Avenue,Brooklyn,Kings,NY,11215,40.67313,-73.97627,237639.0,247785.0,278493.0,318071.0,336599.0,360810.0,426675,98,34,2206072.0,79.54754901341951,10.246102985662375
JPMorgan Chase Bank,0,Albee Square Branch,503,1950-10-16,1992-06-20,20 Flatbush Avenue,Brooklyn,Kings,NY,11217,40.68837,-73.98067,76183.0,80761.0,109879.0,114184.0,125820.0,136994.0,143496,76,34,787317.0,88.35698252891065,11.12973722046151
JPMorgan Chase Bank,0,Sheepshead Bay Branch,504,1930-01-20,1992-06-20,2623 East 17th Street,Brooklyn,Kings,NY,11235,40.58801,-73.95236,169563.0,189151.0,207809.0,225472.0,253619.0,260294.0,319154,96,34,1625062.0,88.22148699893255,11.116409603886801
